DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
0.02051,0.01367,0.009766,0.02734,0.006836,0.01465,0.012695,0.0166,0.01172,0.498,0.02148,0.03027,0.01855,0.01367
0.01758,0.01367,0.01074,0.03027,0.006836,0.012695,0.01074,0.01563,0.01172,0.4849,0.02051,0.03125,0.01758,0.01465
0.01758,0.01172,0.01074,0.0293,0.006836,0.009766,0.00879,0.012695,0.01172,0.4731,0.02051,0.0332,0.01758,0.012695
0.01758,0.01172,0.01074,0.0293,0.00586,0.01172,0.009766,0.01367,0.012695,0.4644,0.02051,0.03516,0.01758,0.01465
0.01758,0.012695,0.01074,0.0293,0.006836,0.01172,0.01074,0.01465,0.012695,0.4526,0.02148,0.03125,0.01758,0.01465
0.01855,0.012695,0.01074,0.02832,0.00879,0.012695,0.01074,0.0166,0.01172,0.4355,0.02148,0.02734,0.01855,0.01563
0.01953,0.01367,0.01172,0.02539,0.01172,0.012695,0.01074,0.0166,0.012695,0.4229,0.02148,0.02539,0.01758,0.01563
0.01953,0.01465,0.012695,0.02539,0.01172,0.01074,0.01074,0.0166,0.01367,0.4097,0.02246,0.02344,0.0166,0.01465
0.01758,0.01465,0.012695,0.02344,0.01172,0.01172,0.01172,0.01758,0.012695,0.397,0.02246,0.02246,0.01758,0.01563
0.0166,0.01563,0.012695,0.02148,0.01074,0.01172,0.009766,0.01465,0.01172,0.3823,0.02246,0.02344,0.01563,0.01563
0.0166,0.01563,0.012695,0.02246,0.00879,0.012695,0.01074,0.01367,0.01172,0.3706,0.02344,0.02441,0.01563,0.01563
0.01563,0.0166,0.01172,0.02539,0.007812,0.01172,0.01172,0.01367,0.01074,0.3584,0.02344,0.02539,0.012695,0.0166
0.01367,0.0166,0.01172,0.02734,0.00879,0.01074,0.012695,0.01465,0.01172,0.3452,0.02441,0.02539,0.01172,0.0166
0.01074,0.01758,0.01074,0.02637,0.00879,0.00879,0.012695,0.01465,0.012695,0.332,0.02441,0.02637,0.01172,0.01465
0.01172,0.01563,0.007812,0.02637,0.00879,0.00879,0.01172,0.01465,0.012695,0.3188,0.02441,0.02441,0.012695,0.012695
0.01172,0.01465,0.00879,0.02539,0.00879,0.01074,0.012695,0.01563,0.012695,0.3052,0.02441,0.02246,0.012695,0.012695
0.012695,0.01465,0.009766,0.02344,0.009766,0.009766,0.01172,0.01758,0.012695,0.293,0.02344,0.02051,0.012695,0.01367
