DDPG_small,DDPG_small_plus,DDPG_small_ultra,DDPG_medium,DDPG_medium_plus,DDPG_medium_ultra,DDPG_large,DDPG_large_plus,DDPG_large_ultra,MALA,fisher_MALA,rwm,NUTS_1c,NUTS_4c
0.003906,0.003906,0.01953,0.01953,0.012695,0.01563,0.01367,0.009766,0.00879,0.1357,0.01953,0.00879,0.3555,0.1445
0.003906,0.003906,0.01758,0.0166,0.012695,0.01465,0.01367,0.007812,0.007812,0.1357,0.02051,0.009766,0.3486,0.1387
0.003906,0.004883,0.01563,0.0166,0.01465,0.01367,0.01465,0.007812,0.007812,0.1357,0.02246,0.007812,0.3408,0.1406
0.004883,0.003906,0.01465,0.01855,0.01465,0.01367,0.01563,0.006836,0.009766,0.1367,0.02441,0.007812,0.336,0.1367
0.00586,0.003906,0.01465,0.01953,0.01563,0.012695,0.0166,0.00586,0.009766,0.1367,0.02734,0.00586,0.329,0.1377
0.006836,0.00293,0.012695,0.01758,0.01758,0.01172,0.01758,0.006836,0.00879,0.1377,0.0293,0.00586,0.3213,0.1328
0.007812,0.001953,0.01074,0.01758,0.01758,0.009766,0.01758,0.006836,0.00879,0.1387,0.03125,0.003906,0.3145,0.1338
0.009766,0.00293,0.009766,0.01758,0.01953,0.01074,0.0166,0.007812,0.009766,0.1387,0.03125,0.003906,0.3086,0.1309
0.01074,0.00293,0.007812,0.01855,0.01953,0.009766,0.01563,0.007812,0.00879,0.1387,0.03027,0.004883,0.3037,0.1338
0.01074,0.00293,0.00879,0.01953,0.02051,0.01074,0.01563,0.007812,0.00879,0.1387,0.03125,0.00586,0.2998,0.1309
0.01172,0.003906,0.00879,0.01758,0.02051,0.01172,0.01563,0.00879,0.007812,0.1406,0.03125,0.00586,0.293,0.1328
0.01074,0.003906,0.009766,0.01563,0.01855,0.01367,0.01563,0.009766,0.007812,0.1406,0.0293,0.003906,0.29,0.1289
0.01074,0.00293,0.01172,0.0166,0.01953,0.01465,0.01367,0.00879,0.009766,0.1406,0.02832,0.004883,0.288,0.1318
0.01074,0.00293,0.012695,0.01367,0.02051,0.01563,0.01367,0.01074,0.009766,0.1406,0.02539,0.003906,0.2812,0.126
0.01074,0.00293,0.01367,0.01367,0.01953,0.01465,0.01465,0.00879,0.009766,0.1406,0.02344,0.00293,0.2783,0.1279
0.01172,0.003906,0.01465,0.012695,0.02051,0.01563,0.01367,0.007812,0.009766,0.1406,0.02051,0.00293,0.2754,0.124
0.012695,0.003906,0.01367,0.01172,0.02051,0.0166,0.01465,0.00586,0.01074,0.1396,0.01758,0.001953,0.2725,0.125
0.01367,0.004883,0.01367,0.01074,0.02051,0.01465,0.01367,0.004883,0.00879,0.1396,0.01563,0.003906,0.2695,0.1201
0.01367,0.00586,0.01172,0.00879,0.02148,0.01367,0.01367,0.004883,0.01074,0.1406,0.0166,0.00293,0.2646,0.1221
0.01465,0.00586,0.00879,0.009766,0.02246,0.01563,0.01465,0.003906,0.01074,0.1406,0.0166,0.001953,0.2627,0.1172
